Date,1M,3M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,6M,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y,41Y,42Y,43Y,44Y,45Y,46Y,47Y,48Y,49Y,50Y
2002-06-30 00:00:04,1.871657,1.971993,2.14646,2.322721,2.619613,3.030681,3.517224,4.077726,4.550279,4.859099,5.039334,5.280782,5.49857,5.694926,5.845276,5.926753,6.006928,6.087408,6.167888,6.248368,,2.015742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-31 00:00:04,1.787439,1.898066,2.14107,2.352513,2.659225,3.043667,3.483675,3.9916,4.32135,4.781643,4.940582,5.064579,5.175367,5.270736,5.342127,5.403936,5.482594,5.576769,5.670944,5.765119,,1.966455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-31 00:00:04,1.768008,1.842808,1.983084,2.085842,2.278142,2.597976,3.061351,3.485957,3.804699,4.118273,4.303707,4.454286,4.584643,4.68835,4.763445,4.835014,4.912647,4.994141,5.075636,5.15713,,1.901453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30 00:00:04,1.9307,1.948306,1.98763,2.134184,2.250237,2.504524,2.848987,3.132493,3.458831,3.705662,3.83281,4.025849,4.229749,4.3613,4.432737,4.489435,4.580159,4.686339,4.792518,4.898697,,1.965026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-31 00:00:04,1.820979,1.840225,2.005049,2.131756,2.247124,2.409636,2.744568,3.020867,3.412192,3.613515,3.741911,3.882201,4.022722,4.14373,4.243365,4.318838,4.423051,4.535722,4.648394,4.761066,,1.867024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-11-30 00:00:04,1.683467,1.70697,1.794333,1.898929,2.009429,2.157167,2.455027,2.725255,3.191723,3.3962,3.559167,3.67773,3.778497,3.901268,4.012739,4.095152,4.186083,4.278399,4.370714,4.463029,4.538143,1.710853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:04,1.683971,1.707639,1.768122,1.870147,1.960076,2.075374,2.286982,2.542656,2.932356,3.128339,3.338398,3.536892,3.641391,3.77411,3.886157,3.969437,4.05365,4.137917,4.222184,4.306451,4.375502,1.71302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-31 00:00:04,1.536641,1.556358,1.607891,1.68307,1.78055,1.920114,2.090512,2.327278,2.629823,2.768561,3.010677,3.181595,3.271166,3.415682,3.52034,3.589275,3.661273,3.733271,3.805269,3.877267,3.911875,1.571684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-28 00:00:04,1.412538,1.425873,1.492793,1.628404,1.749172,1.886335,2.114334,2.34171,2.628973,2.7513,3.025171,3.25963,3.439393,3.591779,3.70689,3.796306,3.842069,3.887832,3.933595,3.979358,4.0256,1.438347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31 00:00:04,1.588649,1.602372,1.625927,1.716129,1.78347,1.923183,2.178494,2.453,2.73333,2.944037,3.144399,3.346554,3.512897,3.66467,3.799216,3.925835,4.040856,4.056482,4.072108,4.087734,4.112624,1.616685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-30 00:00:04,1.580979,1.601057,1.667374,1.722585,1.779715,1.884181,2.085238,2.37455,2.657151,2.838143,3.051473,3.24972,3.411777,3.620775,3.802926,3.959564,4.05677,4.106187,4.155605,4.204557,4.243349,1.64359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-31 00:00:04,1.50477,1.525764,1.614944,1.681425,1.713311,1.7963,1.924126,2.114539,2.328586,2.472484,2.628237,2.780883,2.937571,3.136439,3.304114,3.453466,3.56653,3.645506,3.724483,3.797217,3.829694,1.598589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30 00:00:04,1.268392,1.288742,1.335565,1.397137,1.433899,1.501248,1.596389,1.734684,1.883156,2.017994,2.203313,2.38237,2.549734,2.70897,2.858877,3.001723,3.133671,3.260834,3.387997,3.500545,3.558431,1.308345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-31 00:00:04,1.127682,1.156672,1.216322,1.305307,1.433517,1.633341,1.8444,2.101256,2.318454,2.536062,2.666513,2.814189,2.970477,3.119296,3.280867,3.431174,3.564252,3.686565,3.808878,3.910882,3.964559,1.183343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-08-31 00:00:04,1.108305,1.181745,1.24188,1.350698,1.493032,1.760715,2.066667,2.47227,2.761571,2.969894,3.077592,3.210141,3.355645,3.503023,3.651737,3.806755,3.937557,4.037316,4.137075,4.213796,4.25349,1.218582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30 00:00:04,1.040618,1.119065,1.225433,1.314305,1.493921,1.735515,2.06045,2.443747,2.783237,3.120556,3.235955,3.411503,3.614097,3.801925,3.899519,4.009514,4.097543,4.163549,4.229556,4.291802,4.349689,1.18501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-31 00:00:04,1.151128,1.211835,1.36371,1.596666,1.867201,2.27625,2.683555,3.135308,3.633409,3.809618,3.992943,4.16536,4.280225,4.385538,4.478794,4.610388,4.685157,4.721797,4.758437,4.806142,4.862976,1.307512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-30 00:00:04,1.132706,1.173722,1.417008,1.897039,2.328403,2.865673,3.17388,3.590753,4.032945,4.474756,4.671886,4.86459,4.992863,5.089583,5.194984,5.350964,5.42135,5.456266,5.491182,5.541567,,1.288011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31 00:00:04,0.897701,1.061408,1.256077,1.728843,2.11528,2.5472,2.813692,3.403342,3.83,4.390504,4.704246,4.936302,5.09063,5.212652,5.344078,5.516441,5.587104,5.633012,5.678919,5.738059,,1.162009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-01-31 00:00:04,1.017183,1.063079,1.357915,1.552694,1.795956,2.229917,2.535487,2.923539,3.777667,4.000609,4.267619,4.648273,4.875119,5.031854,5.148038,5.304173,5.348084,5.379336,5.410588,5.463293,,1.163343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-29 00:00:04,1.025552,1.05556,1.357088,1.506714,1.781674,2.20107,2.563132,3.039475,3.690682,3.974229,4.275391,4.500599,4.697883,4.843036,4.968071,5.168394,5.204865,5.237195,5.269524,5.329042,,1.201677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31 00:00:04,1.002119,1.033836,1.237857,1.431824,1.66312,2.074611,2.485257,2.976358,3.483426,3.732275,3.874896,4.055347,4.314107,4.446408,4.558717,4.78079,4.852454,4.924117,4.995781,5.060248,,1.135009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-30 00:00:04,1.093355,1.16503,1.410057,1.681824,1.951896,2.587878,3.284453,3.894091,4.304784,4.522294,4.6664,4.825051,4.971847,5.042506,5.117788,5.242002,5.292112,5.342223,5.392843,5.453887,,1.245011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-31 00:00:04,1.023639,1.062841,1.45332,1.914389,2.35717,3.296319,3.554483,4.042883,4.314222,4.506884,4.667188,4.934344,5.005278,5.062666,5.12735,5.197263,5.229593,5.261922,5.298304,5.361453,,1.174295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30 00:00:04,0.903389,1.054724,1.593685,2.011237,2.569952,3.198974,3.55169,4.05454,4.365469,4.631919,4.906729,5.172765,5.26278,5.328458,5.398576,5.464729,5.507296,5.549863,5.595478,5.652312,,1.351679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-31 00:00:04,1.081754,1.347267,1.78352,2.352314,2.877081,3.308571,3.763415,4.155299,4.40635,4.671111,4.986285,5.126103,5.224265,5.286539,5.361345,5.426343,5.460058,5.493773,5.535967,5.597311,,1.56216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-31 00:00:04,1.263365,1.415359,1.855016,2.268922,2.773929,3.232335,3.677055,4.046645,4.218645,4.527368,4.742786,4.95925,5.112574,5.179496,5.261771,5.365265,5.477403,5.501104,5.533707,5.580618,,1.675733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30 00:00:04,1.390743,1.571416,1.90927,2.309104,2.816174,3.242885,3.701256,4.04679,4.113975,4.376765,4.586172,4.800266,4.964114,5.033514,5.117034,5.191705,5.254477,5.317824,5.381569,5.44577,,1.72002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-31 00:00:04,1.600394,1.676843,2.110591,2.42173,2.934576,3.291226,3.843493,4.213736,4.368148,4.549031,4.793705,4.928401,5.020499,5.085561,5.148136,5.185763,5.222818,5.307281,5.379948,5.443097,,1.900025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-11-30 00:00:04,1.50477,1.699605,2.383871,2.694868,3.132291,3.573,4.059362,4.315383,4.561156,4.7548,4.871309,4.99042,5.065668,5.130731,5.203661,5.275584,5.342119,5.397623,5.457965,,,2.10803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31 00:00:04,1.622688,1.874383,2.466306,2.781306,3.191954,3.534857,4.025228,4.221131,4.476731,4.654893,4.73111,4.842897,4.957499,5.028139,5.074763,5.116391,5.15521,5.220785,5.285249,,,2.184318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-31 00:00:04,1.839262,1.964097,2.484651,2.938747,3.343117,3.72978,4.135861,4.291429,4.521607,4.685171,4.777143,4.908466,4.979131,5.029775,5.066389,5.092872,5.12563,5.188032,5.250674,,,2.218605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-02-28 00:00:04,1.842142,2.040191,2.468187,2.953721,3.328551,3.662025,4.025041,4.18794,4.393919,4.581217,4.650252,4.784977,4.86213,4.93008,4.994891,5.022637,5.079692,5.12905,5.182206,,,2.223367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31 00:00:04,1.916058,2.108041,2.534858,2.940727,3.265344,3.479769,3.772293,3.899799,4.115471,4.26761,4.351524,4.547932,4.62413,4.669197,4.734072,4.775865,4.810547,4.896924,4.9609,,,2.280869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-30 00:00:04,2.299445,2.38207,2.800501,3.01068,3.197029,3.370513,3.55627,3.70958,4.014986,4.053619,4.12681,4.274105,4.38541,4.465953,4.547901,4.601304,4.67952,4.75162,4.811612,,,2.476709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-31 00:00:04,2.319304,2.441426,2.914876,3.168227,3.346462,3.484236,3.664857,3.805393,3.970928,4.060663,4.106217,4.232333,4.314435,4.387588,4.465458,4.525363,4.591696,4.682304,4.745453,,,2.620047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30 00:00:04,2.154762,2.356922,2.810363,3.119913,3.294022,3.370099,3.515953,3.668864,3.794858,3.862638,3.910542,4.006667,4.069227,4.141428,4.218766,4.274491,4.349618,4.448045,4.509089,,,2.596713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-07-31 00:00:04,2.65624,2.821336,3.314121,3.782435,3.929821,4.02333,4.159524,4.290254,4.460571,4.515857,4.601921,4.687074,4.753995,4.83486,4.928724,5.023258,5.069113,5.106317,5.141501,,,3.015776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31 00:00:04,2.424011,2.746054,3.322554,3.9475,4.289334,4.404846,4.523087,4.615691,4.722142,4.7854,4.854056,4.938345,4.995817,5.074774,5.187255,5.318846,5.365514,5.399233,5.42765,,,3.040063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
